시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
포천시,브루셀라병,경기도 포천시 동교동,소-젖소,1,2009-10-08,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,10,2009-10-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,4,2009-12-18,경기북부 북부지소
포천시,구제역,경기도 포천시 창수면 추동리,소-젖소,6,2010-01-07,경기도북부축산위생연구소
포천시,구제역,경기도 포천시 신북면 심곡리,소-한우,2,2010-01-13,경기도북부축산위생연구소
포천시,구제역,경기도 포천시 창수면 추동리,소-젖소,2,2010-01-16,경기도북부축산위생연구소
포천시,구제역,경기도 포천시 창수면 추동리,소-젖소,6,2010-01-16,경기도북부축산위생연구소
포천시,구제역,경기도 포천시 창수면 주원리,소-젖소,9,2010-01-30,경기도북부축산위생연구소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,26,2010-03-07,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,4,2010-03-14,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 창수면 추동리,돼지-종돈,2,2010-03-31,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 운천리,소-젖소,6,2010-04-05,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,4,2010-05-17,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,2,2010-05-31,경기북부 북부지소
포천시,결핵병,경기도 포천시 신북면 심곡리,소-젖소,2,2010-05-31,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 창수면 추동리,돼지-육성돈,2,2010-06-22,경기북부 북부지소
포천시,결핵병,경기도 포천시 화현면,소-젖소,9,2010-06-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,1,2010-07-22,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,3,2010-07-23,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-젖소,5,2010-07-26,경기북부 북부지소
포천시,결핵병,경기도 포천시 신북면 심곡리,소-젖소,1,2010-07-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,3,2010-07-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,2,2010-08-12,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-엘크,63,2010-08-26,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,11,2010-09-09,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,10,2010-11-04,경기북부 북부지소
포천시,구제역,경기도 포천시 영중면 양문리,소-한우,1,2010-12-21,해외전염병과
포천시,구제역,경기도 포천시 관인면 중리,소-한우,4,2010-12-21,해외전염병과
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,25,2011-03-16,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,2,2011-03-23,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 창수면 오가리,소-젖소,1,2011-03-23,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,5,2011-03-23,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 영중면 성동리,소-젖소,1,2011-03-23,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 일동면 사직리,소-젖소,2,2011-03-28,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 초과리,소-한우,1,2011-03-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,4,2011-04-11,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 영중면 양문리,소-젖소,1,2011-05-14,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,5,2011-06-16,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 초과리,소-한우,1,2011-06-16,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,4,2011-07-25,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 내촌면 신팔리,소-한우,2,2011-08-31,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 중리,소-한우,1,2011-09-05,경기북부 북부지소
포천시,결핵병,경기도 포천시 화현면 화현리,소-젖소,2,2011-11-03,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 연곡리,소-육우,1,2011-11-21,경기북부 북부지소
포천시,결핵병,경기도 포천시 창수면 주원리,사슴-엘크,4,2011-12-02,질병진단센터
포천시,돼지생식기호흡기증후군-생식기형,경기도 포천시 이동면 연곡리,돼지-유산태아,1,2012-01-03,질병진단과
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,1,2012-02-01,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,3,2012-02-23,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,3,2012-02-24,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,4,2012-03-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,2,2012-03-22,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,5,2012-04-26,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2012-04-26,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,2,2012-05-25,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2012-05-25,경기북부 북부지소
포천시,결핵병,경기도 포천시 자작동,소-젖소,15,2012-06-01,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 화현면 명덕리,소-젖소,7,2012-06-18,경기북부 북부지소
포천시,결핵병,경기도 포천시 내촌면 내리,소-젖소,2,2012-06-25,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2012-06-29,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-엘크,6,2012-07-19,경기북부 북부지소
포천시,결핵병,경기도 포천시 자작동,소-젖소,3,2012-08-09,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,1,2012-08-31,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 탄동리,소-한우,1,2012-09-06,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴,8,2012-09-27,경기북부 북부지소
포천시,브루셀라병,경기도 포천시 관인면 탄동리,소-젖소,2,2012-10-10,경기북부 북부지소
포천시,결핵병,경기도 포천시 자작동,소-젖소,2,2012-10-12,경기북부 북부지소
포천시,결핵병,경기도 포천시 창수면 추동리,소-젖소,1,2012-10-18,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 관인면 초과리,돼지-비육돈,18,2012-11-01,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,6,2012-11-02,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 관인면 삼율리,돼지-종돈,7,2012-11-08,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,43,2013-01-10,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,3,2013-02-28,경기북부 북부지소
