"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시 용산구 원효로제1동(1117056000)","16,937","16,937","1,186","934","2,926","3,983","2,679","2,236","1,736","810","382","61","4","7,909","7,909","594","483","1,136","1,852","1,345","1,115","851","357","157","18","1","9,028","9,028","592","451","1,790","2,131","1,334","1,121","885","453","225","43","3"
"서울특별시 용산구 원효로제2동(1117057000)","13,713","13,713","814","1,115","1,867","2,167","2,091","2,266","1,802","987","520","79","5","6,448","6,448","392","469","846","1,079","1,040","1,094","873","451","180","24","0","7,265","7,265","422","646","1,021","1,088","1,051","1,172","929","536","340","55","5"
"서울특별시 용산구 효창동(1117058000)","10,645","10,645","814","714","1,596","1,961","1,636","1,702","1,160","660","350","51","1","5,062","5,062","408","386","757","928","794","803","563","270","136","17","0","5,583","5,583","406","328","839","1,033","842","899","597","390","214","34","1"
"서울특별시 용산구 용문동(1117059000)","11,682","11,682","677","686","1,714","1,953","1,663","1,936","1,568","966","456","61","2","5,602","5,602","330","358","830","973","826","959","715","418","180","13","0","6,080","6,080","347","328","884","980","837","977","853","548","276","48","2"
"서울특별시 용산구 한강로동(1117062500)","21,629","21,629","1,259","1,009","3,470","4,864","2,900","3,363","2,666","1,256","721","112","9","10,256","10,256","652","530","1,442","2,318","1,408","1,622","1,342","583","319","38","2","11,373","11,373","607","479","2,028","2,546","1,492","1,741","1,324","673","402","74","7"
"서울특별시 용산구 이촌제1동(1117063000)","25,613","25,613","2,354","2,676","2,604","3,042","4,366","4,446","2,988","1,677","1,197","252","11","12,022","12,022","1,241","1,363","1,263","1,344","1,975","2,121","1,467","706","444","94","4","13,591","13,591","1,113","1,313","1,341","1,698","2,391","2,325","1,521","971","753","158","7"
"서울특별시 용산구 이촌제2동(1117064000)","8,173","8,173","499","493","827","1,310","1,193","1,326","1,349","711","395","69","1","3,814","3,814","244","243","415","637","594","621","601","311","133","15","0","4,359","4,359","255","250","412","673","599","705","748","400","262","54","1"
"서울특별시 용산구 이태원제1동(1117065000)","6,281","6,281","211","250","1,011","1,134","785","989","1,009","517","303","72","0","3,085","3,085","99","129","532","631","403","471","468","210","120","22","0","3,196","3,196","112","121","479","503","382","518","541","307","183","50","0"
"서울특별시 용산구 이태원제2동(1117066000)","8,865","8,865","374","449","1,331","1,667","1,301","1,273","1,183","757","460","69","1","4,084","4,084","191","204","639","817","617","595","520","315","162","24","0","4,781","4,781","183","245","692","850","684","678","663","442","298","45","1"
"서울특별시 용산구 한남동(1117068500)","20,191","20,191","1,092","1,150","2,461","3,775","3,207","3,183","2,826","1,536","801","143","17","9,709","9,709","578","578","1,254","1,828","1,597","1,505","1,334","662","329","36","8","10,482","10,482","514","572","1,207","1,947","1,610","1,678","1,492","874","472","107","9"
